code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Administered intravenously,,,,,0
,,Administered subcutaneously,,,,,0
,,Bilateral Procedure,,,,,0
,,Clia waived test,,,,,0
,,Distinct Procedural Service,,,,,0
,,Drug amount discarded/not administered to any patient,,,,,0
,,Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer chemotherapy,,,,,0
,,Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer radiotherapy,,,,,0
,,Erythropoetic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy,,,,,0
,,Investigational clinical service provided in a clinical research study that is in an approved clinical research study,,,,,0
,,"Item or service statutorily excluded, does not meet the definition of any medicare benefit or, for non-medicare insurers, is not a contract benefit",,,,,0
,,Left side (used to identify procedures performed on the left side of the body),,,,,0
,,"Medicaid level of care 2, as defined by each state",,,,,0
,,Member of high risk population (use only with codes for immunization),,,,,0
,,Modifier description not available,,,,,0
,,Multiple Outpatient Hospital E/M Encounters on the Same Date,,,,,0
,,"Non-excepted service provided at an off-campus, outpatient, provider-based department of a hospital",,,,,0
,,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the initial treatment strategy of tumors that are biopsy proven or strongly suspected of being cancerous based on other dia,,,,,0
,,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the subsequent treatment strategy of cancerous tumors when the beneficiary's treating physician determines that the pet stu,,,,,0
,,Primary physician,,,,,0
,,Ramus intermedius coronary artery,,,,,0
,,Reduced Services,,,,,0
,,Reference (Outside) Laboratory,,,,,0
,,Right side (used to identify procedures performed on the right side of the body),,,,,0
,,Routine clinical service provided in a clinical research study that is in an approved clinical research study,,,,,0
,,Services delivered under an outpatient occupational therapy plan of care,,,,,0
,,Services delivered under an outpatient physical therapy plan of care,,,,,0
,,Services delivered under an outpatient speech language pathology plan of care,,,,,0
,,"Significant, Separately Identifiable Evaluation and Management Service by the Same Physician or Other Qualified Health Care Professional on the same day of the Procedure or Other Service",,,,,0
,,Synchronous Telemedicine Service Rendered Via a Real-Time Interactive Audio and Video Telecommunications System,,,,,0
,,"Technical Component; represents the costs of equipment, supplies, and technician personnel for a procedure, excluding the physician's interpretation. It is used when only the technical portion of a te",,,,,0
,,"Unusual non-overlapping service, the use of a service that is distinct because it does not overlap usual components of the main service",,,,,0
,,Zero drug amount discarded/not administered to any patient,,,,,0
APC,0764,Ketorolac tromethamine inj,,,,,0
APC,0781,Iodine i-123 ioflupane,,,,,0
APC,0902,"Injection,onabotulinumtoxinA",,,,,0
APC,2046,"Pmkr, dual, leadless",,,,,0
APC,2050,Cath coronary drug-delivery,,,,,0
APC,2055,"Tissue marker, detectable",,,,,0
APC,5012,Clinic Visits and Related Services,,,,,0
APC,5021,Level 1 Type A ED Visits,,,,,0
APC,5022,Level 2 Type A ED Visits,,,,,0
APC,5023,Level 3 Type A ED Visits,,,,,0
APC,5024,Level 4 Type A ED Visits,,,,,0
APC,5025,Level 5 Type A ED Visits,,,,,0
APC,5041,Critical Care,,,,,0
APC,5051,Level 1 Skin Procedures,,,,,0
APC,5052,Level 2 Skin Procedures,,,,,0
APC,5054,Level 4 Skin Procedures,,,,,0
APC,5055,Level 5 Skin Procedures,,,,,0
APC,5071,Level 1 Excision/ Biopsy/ Incision and Drainage,,,,,0
APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,,,0
APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,,,0
APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,,,0
APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,,,0
APC,5111,Level 1 Musculoskeletal Procedures,,,,,0
APC,5112,Level 2 Musculoskeletal Procedures,,,,,0
APC,5114,Level 4 Musculoskeletal Procedures,,,,,0
APC,5153,Level 3 Airway Endoscopy,,,,,0
APC,5154,Level 4 Airway Endoscopy,,,,,0
APC,5155,Level 5 Airway Endoscopy,,,,,0
APC,5163,Level 3 ENT Procedures,,,,,0
APC,5164,Level 4 ENT Procedures,,,,,0
APC,5165,Level 5 ENT Procedures,,,,,0
APC,5181,Level 1 Vascular Procedures,,,,,0
APC,5182,Level 2 Vascular Procedures,,,,,0
APC,5183,Level 3 Vascular Procedures,,,,,0
APC,5184,Level 4 Vascular Procedures,,,,,0
APC,5191,Level 1 Endovascular Procedures,,,,,0
APC,5192,Level 2 Endovascular Procedures,,,,,0
APC,5193,Level 3 Endovascular Procedures,,,,,0
APC,5194,Level 4 Endovascular Procedures,,,,,0
APC,5212,Level 2 Electrophysiologic Procedures,,,,,0
APC,5213,Level 3 Electrophysiologic Procedures,,,,,0
APC,5222,Level 2 Pacemaker and Similar Procedures,,,,,0
APC,5223,Level 3 Pacemaker and Similar Procedures,,,,,0
APC,5224,Level 4 Pacemaker and Similar Procedures,,,,,0
APC,5231,Level 1 ICD and Similar Procedures,,,,,0
APC,5232,Level 2 ICD and Similar Procedures,,,,,0
APC,5241,Level 1 Blood Product Exchange and Related Services,,,,,0
APC,5301,Level 1 Upper GI Procedures,,,,,0
APC,5302,Level 2 Upper GI Procedures,,,,,0
APC,5303,Level 3 Upper GI Procedures,,,,,0
APC,5311,Level 1 Lower GI Procedures,,,,,0
APC,5312,Level 2 Lower GI Procedures,,,,,0
APC,5313,Level 3 Lower GI Procedures,,,,,0
APC,5331,Complex GI Procedures,,,,,0
APC,5341,Level 1 Abdominal/Peritoneal/Biliary and Related Procedures,,,,,0
APC,5361,Level 1 Laparoscopy and Related Services,,,,,0
APC,5362,Level 2 Laparoscopy and Related Services,,,,,0
APC,5371,Level 1 Urology and Related Services,,,,,0
APC,5372,Level 2 Urology and Related Services,,,,,0
APC,5373,Level 3 Urology and Related Services,,,,,0
APC,5374,Level 4 Urology and Related Services,,,,,0
APC,5375,Level 5 Urology and Related Services,,,,,0
APC,5401,Dialysis,,,,,0
APC,5411,Level 1 Gynecologic Procedures,,,,,0
APC,5412,Level 2 Gynecologic Procedures,,,,,0
APC,5414,Level 4 Gynecologic Procedures,,,,,0
APC,5415,Level 5 Gynecologic Procedures,,,,,0
APC,5416,Level 6 Gynecologic Procedures,,,,,0
APC,5441,Level 1 Nerve Injections,,,,,0
APC,5442,Level 2 Nerve Injections,,,,,0
APC,5464,Level 4 Neurostimulator and Related Procedures,,,,,0
APC,5481,Laser Eye Procedures,,,,,0
APC,5491,Level 1 Intraocular Procedures,,,,,0
APC,5492,Level 2 Intraocular Procedures,,,,,0
APC,5493,Level 3 Intraocular Procedures,,,,,0
APC,5501,"Level 1 Extraocular, Repair, and Plastic Eye Procedures",,,,,0
APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,,,0
APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,,,0
APC,5521,Level 1 Imaging without Contrast,,,,,0
APC,5522,Level 2 Imaging without Contrast,,,,,0
APC,5523,Level 3 Imaging without Contrast,,,,,0
APC,5524,Level 4 Imaging without Contrast,,,,,0
APC,5571,Level 1 Imaging with Contrast,,,,,0
APC,5572,Level 2 Imaging with Contrast,,,,,0
APC,5573,Level 3 Imaging with Contrast,,,,,0
APC,5591,Level 1 Nuclear Medicine and Related Services,,,,,0
APC,5592,Level 2 Nuclear Medicine and Related Services,,,,,0
APC,5593,Level 3 Nuclear Medicine and Related Services,,,,,0
APC,5594,Level 4 Nuclear Medicine and Related Services,,,,,0
APC,5611,Level 1 Therapeutic Radiation Treatment Preparation,,,,,0
APC,5612,Level 2 Therapeutic Radiation Treatment Preparation,,,,,0
APC,5613,Level 3 Therapeutic Radiation Treatment Preparation,,,,,0
APC,5622,Level 2 Radiation Therapy,,,,,0
APC,5623,Level 3 Radiation Therapy,,,,,0
APC,5624,Level 4 Radiation Therapy,,,,,0
APC,5626,Level 6 Radiation Therapy,,,,,0
APC,5661,Therapeutic Nuclear Medicine,,,,,0
APC,5671,Level 1 Pathology,,,,,0
APC,5672,Level 2 Pathology,,,,,0
APC,5673,Level 3 Pathology,,,,,0
APC,5674,Level 4 Pathology,,,,,0
APC,5691,Level 1 Drug Administration,,,,,0
